愛国心,現代社会,自分の国を愛し、国の発展を願う心を何と言いますか？,自由権 公民権 社会権 福祉国家 国際協力 平和主義 多文化共生 消費者保護 男女共同参画 情報化社会
IT社会(情報社会),現代社会,コンピューターやインターネットを利用した情報のやり取りが中心となる社会を何と言いますか？,経済成長 多文化共生 グローバル化 地方分権 情報化社会 環境問題 人権尊重 消費社会 政治参加 平和主義
アイヌ,現代社会,日本の北海道地方に伝わる先住民族を何と言いますか？,韓国 朝鮮 琉球民族 沖縄県 アイヌ民族 中国 少数民族 大和民族 アイヌ文化 アイヌ文化振興法
アイヌ文化振興法,法,アイヌ民族の文化を守り、振興するために制定された法律は何ですか？,育児・介護休業法 個人情報保護法 消費者基本法 労働基準法 男女共同参画基本法 障害者基本法 民法 刑法 遺伝子操作法 環境基本法
アダム・スミス,経済,「国富論」を著し、自由経済の考え方を提唱した18世紀の経済学者は誰ですか？,カール・マルクス ジョン・メイナード・ケインズ アルフレッド・マーシャル ジョセフ・シュンペーター デヴィッド・リカード トマス・ピケティ ジョン・ロック フリードリヒ・リスト マルクス・ウェーバー ジョン・スチュアート・ミル
新しい人権,法,環境権やプライバシーの保護など、近年新たに認められてきた人権を何と言いますか？,基本的人権 自由権 社会権 平和権 参政権 児童の権利 労働基本権 国際人権 国連憲章 情報公開法
アメリカ独立宣言,政治,1776年にアメリカがイギリスからの独立を宣言した文書を何と言いますか？,権利章典 ワイマール憲法 憲法改正条項 フランス人権宣言 国連憲章 日本国憲法 憲法制定会議 国際人権規約 環境権 男女共同参画基本法
安全保障理事会 [国連],政治,国連の中で、国際平和と安全の維持を担当する機関は何ですか？,国際連合総会 国際司法裁判所 世界保健機関 ユネスコ 国際通貨基金 世界銀行 国連難民高等弁務官事務所 人権理事会 国連事務局 経済社会理事会
育児・介護休業法,法,仕事と家庭の両立を支援し、育児や介護のための休業を認める法律は何ですか？,労働基準法 労働組合法 男女雇用機会均等法 障害者基本法 個人情報保護法 消費者基本法 刑法 民法 商法 労働契約法
違憲立法審査権,法,裁判所が法律の憲法違反を判断する権限を何と言いますか？,司法権 立法権 行政権 国民審査 拒否権 修正権 否決権 弾劾権 選挙権 参政権
一票の格差,政治,選挙で一人一票の原則が守られず、地域ごとに票の価値が異なることを何と言いますか？,比例代表制 小選挙区制 選挙権 参政権 直接選挙 間接選挙 議会制民主主義 連邦制 二院制 地方自治
遺伝子操作,現代社会,生物の遺伝子を人工的に変える技術を何と言いますか？,クローン技術 バイオエシックス 生命倫理 遺伝子組み換え技術 バイオテクノロジー 先住民族保護環境権 プライバシー権 文化財保護法 知的財産権 公害対策
異文化理解,現代社会,異なる文化を尊重し、理解し合うことを何と言いますか？,多文化共生 グローバル化 国際協力 地域主義 アイデンティティ 保護主義 ナショナリズム 民族主義 民主主義 文化多様性
インターネット,現代社会,世界中のコンピューターを結ぶ情報通信網を何と言いますか？,ワールドワイドウェブ 電話網 放送網 モバイルネットワーク クラウドコンピューティング ソーシャルメディア ブロードバンド 無線通信 携帯電話 ネットワークセキュリティ
インフォームド・コンセント,法,医療の場面で患者が十分な説明を受けた上で同意することを何と言いますか？,代理人制度 裁判員制度 プライバシー権 自由権 公正取引契約 労働基本権 参政権 基本的人権 消費者保護 消費者基本法
インフレーション(インフレ),経済,物価が継続的に上昇し、通貨の価値が下がる現象を何と言いますか？,デフレーション 不況 好景気 供給過剰 需要不足 失業率 国際収支 財政赤字 経済成長 通貨危機
エイズ患者,現代社会,ヒト免疫不全ウイルス（HIV）に感染し、免疫力が低下した病気の患者を何と言いますか？,糖尿病患者 ガン患者 インフルエンザ患者 肺炎患者 結核患者 高血圧患者 脳卒中患者 アレルギー患者 認知症患者 生活習慣病患者
エネルギー,現代社会,仕事や生活に必要な力や燃料のことを何と言いますか？,資本 労働力 財 政策 技術 情報 資源 生産 手段 貿易
円高,経済,日本円の価値が外国通貨に対して高くなることを何と言いますか？,インフレーション デフレーション 輸出 超過供給 物価上昇 物価下落 金利上昇 金利低下 為替介入 円安
円安,経済,日本円の価値が外国通貨に対して低くなることは何と言いますか？,インフレーション デフレーション 輸出 超過供給 物価上昇 物価下落 金利上昇 金利低下 為替介入 円高
大きな政府,政治,政府の役割や規模が大きく、積極的に経済や社会に介入する政策を何と言いますか？,小さな政府 自由主義 保守主義 民主主義 立憲主義 直接民主制 間接民主制 連邦制 中央集権 制限政府
オゾン層,現代社会,地球を紫外線から守る成層圏にあるガスの層を何と言いますか？,温室効果層 地表層 寒冷前線 オゾ層 海洋層 大気圏 磁気圏 成層圏 赤道大気圏 オゾメン層
卸売業,経済,商品を大量に仕入れて小売業者に販売する業種を何と言いますか？,小売業 製造業 サービス業 農業 漁業 林業 鉱業 建設業 運輸業 金融業
温室効果ガス,現代社会,地球の気温を上昇させる原因となる大気中の気体を何と言いますか？,酸素 二酸化炭素 窒素 水素 メタン アンモニア オゾン 硫黄化合物 塩素 水蒸気
オンブズマン制度,法,行政の不正や不当な行為を監視し、改善を求める制度を何と言いますか？,裁判制度 監査制度 国会制度 立法制度 行政改革 制裁制度 行政裁判 所信表明 決議制度 司法権
外交,政治,国と国との関係を調整し、交渉や協力を行う活動を何と言いますか？,内政 政治運動 選挙活動 立法活動 行政活動 国際貿易 経済活動 国際協力 社会運動 情報活動
外国人差別,現代社会,日本に住む外国人に対して不当な扱いや偏見をすることを何と言いますか？,人種差別 性差別 障害者差別 年齢差別 宗教差別 国籍差別 地域差別 身分差別 職業差別 階級差別
外国人参政権,政治,日本に住む外国人に認めるべきか議論されている政治参加の権利を何と言いますか？,選挙権 被選挙権 投票権 議員権 住民投票権 立候補権 罷免権 直接民主権 間接民主権 参政権
介護保険,法,高齢者の介護を社会全体で支えるための保険制度を何と言いますか？,年金保険 健康保険 労災保険 失業保険 自賠責保険 火災保険 自動車保険 生命保険 傷害保険 損害保険
介護保険法,法,介護保険制度の内容を定めた法律を何と言いますか？,労働基準法 民法 刑法 労働契約法 男女雇用機会均等法 育児・介護休業法 消費者基本法 障害者基本法 遺伝子組み換え法 個人情報保護法
外務省,政治,日本の外交政策を担当する中央官庁はどこですか？,法務省 財務省 厚生労働省 経済産業省 内閣府 総務省 文部科学省 防衛省 警察庁 内務省
価格,経済,商品やサービスの売買における価値の交換比率を何と言いますか？,賃金 利子 配当 手数料 関税 税金 給料 所得 利益 資本
科学技術,現代社会,自然の法則に基づく知識やその応用を何と言いますか？,人文科学 社会科学 心理学 医学 経済学 情報通信技術 応用科学 自然科学 化学技術 物理技術
下級裁判所,法,日本の裁判所のうち、地方裁判所や家庭裁判所などを総称して何と言いますか？,最高裁判所 高等裁判所 検察庁 弁護士会 法務省 内閣法制局 裁判官会議 裁判所職員連盟 公証人役場 行政機関
核拡散防止条約,政治,核兵器の拡散を防ぐために各国が結んだ条約を何と言いますか？,地球温暖化防止条約 気候変動枠組条約 パリ協定 国連憲章 人権宣言 環境基本法 防衛白書 日米安全保障条約 連合国条約 国際刑事裁判所設立条約
核家族,現代社会,親と子どもだけの家族形態を何と言いますか？,拡大家族 単身世帯 夫婦のみ世帯 一人親家庭 祖父母同居世帯 共同生活世帯 同居家族 世帯別人口 単世帯 介護家族
閣議,政治,日本の内閣が重要な政策を決定する会議を何と言いますか？,国会 予算委員会 議会 衆議院 参議院 内閣総理大臣 会議室 省庁会議 国会運営委員会 連立会議
核兵器,政治,大きな破壊力を持つ原子力を利用した兵器を何と言いますか？,化学兵器 生物兵器 ミサイル 大砲 銃器 爆弾 手榴弾 機関銃 無人兵器 ドローン
家計,経済,家庭での収入と支出の管理を何と言いますか？,企業経営 財務会計 国家予算 投資運用 貿易収支 金融政策 経済成長 物価指数 労働市場 財政赤字
貸付,経済,お金を一定期間貸し出すことを何と言いますか？,預金 投資 配当 返済 利息 資産運用 保険料 収益 流動性 債権
化石燃料,現代社会,石炭や石油など、地中に長い時間かけてできた燃料を何と言いますか？,再生可能エネルギー 水力発電 太陽光発電 風力発電 原子力エネルギー バイオマスエネルギー 地熱エネルギー 潮力エネルギー 電気 エネルギー効率
寡占,経済,少数の企業が市場の大部分を支配している状態を何と言いますか？,独占 競争市場 完全競争 市場均衡 自由競争 価格競争 独占禁止法 市場介入 公正取引 需要と供給
過疎化,現代社会,人口が減少し、地域の活力が失われる現象を何と言いますか？,過密化 都市集中 少子化 高齢化 住宅過剰 地方分権 都市化 地域活性化 労働力不足 移民増加
家族,現代社会,血縁や婚姻などで結ばれた生活共同体を何と言いますか？,個人 友人集団 職場集団 政党 学校集団 近隣住民 集団就職 労働組合 地域共同体 社会集団
